Respondent,Assigned Segment,I always choose higher end hotels,On vacation I pride myself on discovering new places and things my friends have not seen before,I choose more expensive hotels and accommodations to make sure I get the best service and amenities,It is important for me to be in a luxurious setting and to be pampered on vacation,I like to immerse myself in the local culture when on vacation,The difference between luxury and standard hotels just is not big enough to justify the cost,I always pay more for a higher class of room on my vacations,I would rather spend as little as possible on accommodations so I have more money to spend on other parts of my vacation,I think spending more for unique experiences is part of what makes a vacation special,I like to go on vacations that are off the beaten path,Cheap + Comfy,Cheap + Curious,Curious,Comfy,Craver,Caviar
494598,Comfy,3,2,3,4,5,3,2,3,3,4,53.47,48.83,56.43,57.55,53.50,53.61
494597,Caviar,3,3,4,4,3,2,3,2,4,4,49.97,42.74,55.61,58.24,55.23,58.41
494596,Curious,3,5,3,2,5,4,4,4,2,4,64.94,65.19,70.26,67.70,66.04,63.03
494595,Caviar,4,5,4,4,4,2,4,2,4,4,64.39,60.77,76.22,76.08,79.78,80.75
494594,Caviar,5,4,5,5,5,1,2,3,4,3,66.19,60.88,79.26,80.46,85.94,87.09
494593,Craver,4,5,4,5,5,5,3,5,1,5,81.27,79.34,90.48,89.88,95.66,88.32
494592,Craver,5,5,5,5,5,4,4,2,5,4,88.66,86.02,105.41,104.64,116.09,113.02
494590,Craver,4,4,4,4,4,4,4,3,3,2,66.24,59.08,72.71,76.04,77.24,76.54
494589,Craver,4,5,4,5,3,3,2,3,5,5,71.29,69.37,82.41,80.79,85.72,82.85
494587,Curious,3,5,3,3,4,4,2,4,3,3,60.76,59.98,64.02,62.07,59.32,56.22
494586,Cheap + Curious,2,3,2,2,4,4,2,4,5,3,54.28,54.50,53.32,50.92,43.30,41.07
